id	exp	type	num_rob	time
6	logistics	baseline	10	9372
7	logistics	baseline	10	13904
8	logistics	baseline	10	8169
9	logistics	baseline	10	7052
10	logistics	baseline	10	2542
11	logistics	baseline	10	6656
12	logistics	baseline	10	5619
13	logistics	baseline	10	3836
14	logistics	baseline	10	4455
15	logistics	baseline	10	4410
16	logistics	baseline	10	6462
17	logistics	baseline	10	5007
18	logistics	baseline	10	11452
19	logistics	baseline	10	5995
20	logistics	baseline	10	5057
21	logistics	baseline	10	8033
22	logistics	baseline	10	5598
23	logistics	baseline	10	17163
24	logistics	baseline	10	7913
25	logistics	baseline	10	4114
26	logistics	baseline	10	9213
27	logistics	baseline	10	3301
28	logistics	baseline	10	3716
29	logistics	baseline	10	6230
30	logistics	baseline	10	4836
31	logistics	baseline	10	9998
32	logistics	baseline	10	8956
33	logistics	baseline	10	12877
34	logistics	baseline	10	4345
35	logistics	baseline	10	4384
36	logistics	baseline	10	5690
37	logistics	baseline	10	3907
38	logistics	baseline	10	6324
39	logistics	baseline	10	3827
40	logistics	baseline	10	5167
41	logistics	baseline	10	5401
42	logistics	baseline	10	3390
43	logistics	baseline	10	4431
44	logistics	baseline	10	7250
45	logistics	baseline	10	9510
46	logistics	baseline	10	11545
47	logistics	baseline	10	7763
48	logistics	baseline	10	5860
49	logistics	baseline	10	11146
0	logistics	baseline	50	4757
1	logistics	baseline	50	7037
2	logistics	baseline	50	5610
3	logistics	baseline	50	12119
4	logistics	baseline	50	6356
5	logistics	baseline	50	3288
6	logistics	baseline	50	7841
7	logistics	baseline	50	7567
8	logistics	baseline	50	5128
9	logistics	baseline	50	4687
10	logistics	baseline	50	5993
11	logistics	baseline	50	5283
12	logistics	baseline	50	5613
13	logistics	baseline	50	5644
14	logistics	baseline	50	4987
15	logistics	baseline	50	3832
16	logistics	baseline	50	7943
17	logistics	baseline	50	9015
18	logistics	baseline	50	5177
19	logistics	baseline	50	8404
20	logistics	baseline	50	7593
21	logistics	baseline	50	5143
22	logistics	baseline	50	5213
23	logistics	baseline	50	11263
24	logistics	baseline	50	4808
25	logistics	baseline	50	5245
26	logistics	baseline	50	6131
27	logistics	baseline	50	4257
28	logistics	baseline	50	10140
29	logistics	baseline	50	4127
30	logistics	baseline	50	6614
31	logistics	baseline	50	6120
32	logistics	baseline	50	5982
33	logistics	baseline	50	5413
34	logistics	baseline	50	4545
35	logistics	baseline	50	4937
36	logistics	baseline	50	8163
37	logistics	baseline	50	7656
38	logistics	baseline	50	5249
39	logistics	baseline	50	5417
40	logistics	baseline	50	5742
41	logistics	baseline	50	6786
42	logistics	baseline	50	3937
43	logistics	baseline	50	5572
44	logistics	baseline	50	11844
45	logistics	baseline	50	5839
46	logistics	baseline	50	3965
47	logistics	baseline	50	5197
48	logistics	baseline	50	6634
49	logistics	baseline	50	4321
0	logistics	baseline	100	3883
1	logistics	baseline	100	16018
2	logistics	baseline	100	7375
3	logistics	baseline	100	12164
4	logistics	baseline	100	5508
5	logistics	baseline	100	5513
6	logistics	baseline	100	6045
7	logistics	baseline	100	5837
8	logistics	baseline	100	8257
9	logistics	baseline	100	9115
10	logistics	baseline	100	6693
11	logistics	baseline	100	4286
12	logistics	baseline	100	5264
13	logistics	baseline	100	9107
14	logistics	baseline	100	10382
15	logistics	baseline	100	4195
16	logistics	baseline	100	8123
17	logistics	baseline	100	4810
18	logistics	baseline	100	4857
19	logistics	baseline	100	12513
20	logistics	baseline	100	6924
21	logistics	baseline	100	12265
22	logistics	baseline	100	8722
23	logistics	baseline	100	6975
24	logistics	baseline	100	10294
25	logistics	baseline	100	6511
26	logistics	baseline	100	7012
27	logistics	baseline	100	11887
28	logistics	baseline	100	10518
29	logistics	baseline	100	5376
30	logistics	baseline	100	10480
31	logistics	baseline	100	6373
32	logistics	baseline	100	4872
33	logistics	baseline	100	4503
34	logistics	baseline	100	6902
35	logistics	baseline	100	4618
36	logistics	baseline	100	6421
37	logistics	baseline	100	7978
38	logistics	baseline	100	3788
39	logistics	baseline	100	5047
40	logistics	baseline	100	3016
41	logistics	baseline	100	7150
42	logistics	baseline	100	5003
43	logistics	baseline	100	4575
44	logistics	baseline	100	10575
45	logistics	baseline	100	4223
46	logistics	baseline	100	7378
47	logistics	baseline	100	9197
48	logistics	baseline	100	4560
49	logistics	baseline	100	13776
0	logistics	baseline	200	1744
1	logistics	baseline	200	3009
2	logistics	baseline	200	1163
3	logistics	baseline	200	1485
4	logistics	baseline	200	1727
5	logistics	baseline	200	4976
6	logistics	baseline	200	1377
7	logistics	baseline	200	1498
8	logistics	baseline	200	1695
9	logistics	baseline	200	1975
10	logistics	baseline	200	1491
11	logistics	baseline	200	1498
12	logistics	baseline	200	2259
13	logistics	baseline	200	1061
14	logistics	baseline	200	1222
15	logistics	baseline	200	3431
16	logistics	baseline	200	1430
17	logistics	baseline	200	2087
18	logistics	baseline	200	1645
19	logistics	baseline	200	2788
20	logistics	baseline	200	1283
21	logistics	baseline	200	1084
22	logistics	baseline	200	1704
23	logistics	baseline	200	1843
24	logistics	baseline	200	2017
25	logistics	baseline	200	1838
26	logistics	baseline	200	1525
27	logistics	baseline	200	1211
28	logistics	baseline	200	1359
29	logistics	baseline	200	2241
30	logistics	baseline	200	1297
31	logistics	baseline	200	2755
32	logistics	baseline	200	1849
33	logistics	baseline	200	1267
34	logistics	baseline	200	1252
35	logistics	baseline	200	1752
36	logistics	baseline	200	1429
37	logistics	baseline	200	2188
38	logistics	baseline	200	1572
39	logistics	baseline	200	1444
40	logistics	baseline	200	1836
41	logistics	baseline	200	1761
42	logistics	baseline	200	1724
43	logistics	baseline	200	1668
44	logistics	baseline	200	947
45	logistics	baseline	200	1258
46	logistics	baseline	200	1857
47	logistics	baseline	200	1667
48	logistics	baseline	200	1681
49	logistics	baseline	200	1449
0	logistics	optimised	5	4410
1	logistics	optimised	5	8600
2	logistics	optimised	5	8501
3	logistics	optimised	5	4613
4	logistics	optimised	5	6945
5	logistics	optimised	5	7377
6	logistics	optimised	5	8447
7	logistics	optimised	5	7927
8	logistics	optimised	5	7557
9	logistics	optimised	5	12130
10	logistics	optimised	5	13943
11	logistics	optimised	5	6496
12	logistics	optimised	5	5332
13	logistics	optimised	5	5208
14	logistics	optimised	5	6115
15	logistics	optimised	5	7140
16	logistics	optimised	5	4917
17	logistics	optimised	5	7191
18	logistics	optimised	5	4243
19	logistics	optimised	5	8811
20	logistics	optimised	5	7188
21	logistics	optimised	5	5191
22	logistics	optimised	5	8222
23	logistics	optimised	5	6724
24	logistics	optimised	5	11165
25	logistics	optimised	5	8457
26	logistics	optimised	5	4535
27	logistics	optimised	5	5789
28	logistics	optimised	5	10296
29	logistics	optimised	5	6615
30	logistics	optimised	5	10707
31	logistics	optimised	5	7828
32	logistics	optimised	5	7296
33	logistics	optimised	5	7620
34	logistics	optimised	5	5792
35	logistics	optimised	5	10807
36	logistics	optimised	5	6448
37	logistics	optimised	5	5741
38	logistics	optimised	5	6062
39	logistics	optimised	5	7136
40	logistics	optimised	5	7467
41	logistics	optimised	5	7747
42	logistics	optimised	5	4311
43	logistics	optimised	5	8498
44	logistics	optimised	5	7265
45	logistics	optimised	5	6656
46	logistics	optimised	5	9355
47	logistics	optimised	5	6744
48	logistics	optimised	5	7027
49	logistics	optimised	5	4854
0	logistics	optimised	10	4450
1	logistics	optimised	10	2910
2	logistics	optimised	10	4044
3	logistics	optimised	10	3038
4	logistics	optimised	10	4304
5	logistics	optimised	10	5570
6	logistics	optimised	10	3990
7	logistics	optimised	10	3380
8	logistics	optimised	10	3714
9	logistics	optimised	10	4467
10	logistics	optimised	10	4231
11	logistics	optimised	10	3845
12	logistics	optimised	10	4544
13	logistics	optimised	10	5002
14	logistics	optimised	10	3651
15	logistics	optimised	10	4712
16	logistics	optimised	10	3763
17	logistics	optimised	10	3317
18	logistics	optimised	10	3265
19	logistics	optimised	10	4053
20	logistics	optimised	10	4763
21	logistics	optimised	10	3928
22	logistics	optimised	10	3525
23	logistics	optimised	10	3039
24	logistics	optimised	10	4925
25	logistics	optimised	10	3536
26	logistics	optimised	10	3414
27	logistics	optimised	10	4256
28	logistics	optimised	10	4015
29	logistics	optimised	10	4255
30	logistics	optimised	10	4142
31	logistics	optimised	10	3893
32	logistics	optimised	10	4238
33	logistics	optimised	10	3931
34	logistics	optimised	10	3342
35	logistics	optimised	10	5042
36	logistics	optimised	10	2814
37	logistics	optimised	10	4449
38	logistics	optimised	10	3291
39	logistics	optimised	10	5161
40	logistics	optimised	10	3298
41	logistics	optimised	10	3480
42	logistics	optimised	10	3704
43	logistics	optimised	10	3283
44	logistics	optimised	10	2956
45	logistics	optimised	10	4451
46	logistics	optimised	10	3906
47	logistics	optimised	10	3579
48	logistics	optimised	10	4729
49	logistics	optimised	10	4676
0	logistics	optimised	50	3006
1	logistics	optimised	50	2861
2	logistics	optimised	50	2558
3	logistics	optimised	50	3042
4	logistics	optimised	50	2228
5	logistics	optimised	50	3588
6	logistics	optimised	50	2535
7	logistics	optimised	50	3423
8	logistics	optimised	50	3154
9	logistics	optimised	50	4241
