id	exp	type	num_rob	timesteps
37	area_coverage	baseline	100	1854
38	area_coverage	baseline	100	1850
39	area_coverage	baseline	100	1849
40	area_coverage	baseline	100	1968
41	area_coverage	baseline	100	1855
42	area_coverage	baseline	100	1881
43	area_coverage	baseline	100	1892
44	area_coverage	baseline	100	1893
45	area_coverage	baseline	100	1959
46	area_coverage	baseline	100	1932
47	area_coverage	baseline	100	1893
48	area_coverage	baseline	100	1906
49	area_coverage	baseline	100	1913
0	area_coverage	baseline	200	971
1	area_coverage	baseline	200	944
2	area_coverage	baseline	200	940
3	area_coverage	baseline	200	911
4	area_coverage	baseline	200	948
5	area_coverage	baseline	200	925
6	area_coverage	baseline	200	976
7	area_coverage	baseline	200	967
8	area_coverage	baseline	200	970
9	area_coverage	baseline	200	953
10	area_coverage	baseline	200	981
11	area_coverage	baseline	200	962
12	area_coverage	baseline	200	921
13	area_coverage	baseline	200	979
14	area_coverage	baseline	200	1000
15	area_coverage	baseline	200	943
16	area_coverage	baseline	200	940
17	area_coverage	baseline	200	996
18	area_coverage	baseline	200	956
19	area_coverage	baseline	200	970
20	area_coverage	baseline	200	953
21	area_coverage	baseline	200	988
22	area_coverage	baseline	200	999
23	area_coverage	baseline	200	960
24	area_coverage	baseline	200	929
25	area_coverage	baseline	200	927
26	area_coverage	baseline	200	959
27	area_coverage	baseline	200	920
28	area_coverage	baseline	200	942
29	area_coverage	baseline	200	952
30	area_coverage	baseline	200	949
31	area_coverage	baseline	200	1000
32	area_coverage	baseline	200	987
33	area_coverage	baseline	200	973
34	area_coverage	baseline	200	962
35	area_coverage	baseline	200	964
36	area_coverage	baseline	200	975
37	area_coverage	baseline	200	939
38	area_coverage	baseline	200	990
39	area_coverage	baseline	200	973
40	area_coverage	baseline	200	980
41	area_coverage	baseline	200	952
42	area_coverage	baseline	200	941
43	area_coverage	baseline	200	938
44	area_coverage	baseline	200	982
45	area_coverage	baseline	200	968
46	area_coverage	baseline	200	933
47	area_coverage	baseline	200	967
48	area_coverage	baseline	200	994
49	area_coverage	baseline	200	993
