id	exp	type	num_rob	time	compu_time_total	compu_time_comms
0	acov	optimised	10	10862	7.826070976257324	1.0256202220916748
1	acov	optimised	10	9967	6.790164160728454	0.9952273607254029
2	acov	optimised	10	9989	6.037919688224792	0.9135621547698974
3	acov	optimised	10	9784	6.1619843482971195	0.9276525020599365
4	acov	optimised	10	9452	5.7238849401474	0.9003564834594726
5	acov	optimised	10	9919	6.6027848482131954	0.9613407611846924
6	acov	optimised	10	9940	6.232804584503174	0.9314950704574585
7	acov	optimised	10	10143	6.902172565460205	0.9802159786224365
8	acov	optimised	10	9549	6.55096161365509	0.9928173065185547
9	acov	optimised	10	9501	9.106396627426147	1.2346879959106445
10	acov	optimised	10	10029	7.479868531227112	1.0573386192321776
11	acov	optimised	10	9515	5.921853756904602	0.9200289726257325
12	acov	optimised	10	9607	5.846055102348328	0.9049167394638061
13	acov	optimised	10	9975	6.109103035926819	0.9319346666336059
14	acov	optimised	10	10515	6.789083766937256	0.9634960889816284
15	acov	optimised	10	11065	8.193835711479187	1.0566828966140747
16	acov	optimised	10	10637	8.123145174980163	1.0940450429916382
17	acov	optimised	10	9623	6.196087288856506	0.9408341169357299
18	acov	optimised	10	9687	5.753217267990112	0.9026189088821411
19	acov	optimised	10	9591	6.235277390480041	0.9494789838790894
20	acov	optimised	10	9661	5.973945999145508	0.9212542295455932
21	acov	optimised	10	9834	6.2204385042190555	0.9408608913421631
22	acov	optimised	10	9472	5.992779779434204	0.9234066963195801
23	acov	optimised	10	9949	6.8681374311447145	1.0080397605895997
24	acov	optimised	10	11678	9.4556325674057	1.1695383548736573
25	acov	optimised	10	10210	7.471182918548584	1.0399701118469238
26	acov	optimised	10	12445	9.576709723472595	1.1873027563095093
27	acov	optimised	10	9786	6.216628170013427	0.9279131174087525
28	acov	optimised	10	10218	7.1411775827407835	0.9976918935775757
29	acov	optimised	10	12869	10.684019756317138	1.2122756004333497
30	acov	optimised	10	9935	6.215853571891785	0.937431788444519
31	acov	optimised	10	9558	6.1888680934906	0.930321478843689
32	acov	optimised	10	9745	8.517293667793274	1.1950076341629028
33	acov	optimised	10	10069	9.344195556640624	1.2085800409317016
34	acov	optimised	10	10027	8.030596232414245	1.0950337171554565
35	acov	optimised	10	15170	11.925176119804382	1.2791628122329712
36	acov	optimised	10	9988	6.387523436546326	0.9645519971847534
37	acov	optimised	10	10535	7.101876330375672	1.0045025825500489
38	acov	optimised	10	10428	8.065107536315917	1.1043012380599975
39	acov	optimised	10	9469	6.20545506477356	0.9528023719787597
40	acov	optimised	10	10575	7.833365511894226	1.0840841054916381
41	acov	optimised	10	9463	4.873469448089599	0.6867750883102417
42	acov	optimised	10	10108	6.960249900817871	0.9946702241897583
43	acov	optimised	10	10434	5.931199336051941	0.7498165845870972
44	acov	optimised	10	9873	6.298641228675843	0.9476584672927857
45	acov	optimised	10	9328	4.5924090385437015	0.6606549501419068
46	acov	optimised	10	10415	6.439550399780273	0.8661051750183105
47	acov	optimised	10	10015	5.122726416587829	0.657761526107788
48	acov	optimised	10	9980	6.114735770225525	0.849718427658081
49	acov	optimised	10	10059	5.046773099899292	0.6662973880767822
0	acov	optimised	50	1957	1.4432207107543946	0.11544541358947753
1	acov	optimised	50	1975	1.5099606370925904	0.12590702056884764
2	acov	optimised	50	1938	1.4171995830535888	0.1141960334777832
3	acov	optimised	50	1967	1.4699614477157592	0.12032822608947753
4	acov	optimised	50	1962	1.3811461210250855	0.11252731323242188
5	acov	optimised	50	1961	1.3834668159484864	0.11444952487945556
6	acov	optimised	50	1926	1.2615737199783326	0.10636634349822999
7	acov	optimised	50	2046	1.8031631135940551	0.1397110652923584
8	acov	optimised	50	1927	1.3504177474975585	0.10973594665527343
9	acov	optimised	50	1953	1.4892239952087403	0.11994681358337403
10	acov	optimised	50	1955	1.3709726095199586	0.11266071796417236
11	acov	optimised	50	2032	1.5273225688934327	0.12083539485931397
12	acov	optimised	50	1933	1.8803816795349122	0.15130873203277587
13	acov	optimised	50	2088	1.8242561626434326	0.14097416400909424
14	acov	optimised	50	1953	1.27699640750885	0.10642197132110595
15	acov	optimised	50	2055	1.5793131971359253	0.12474170684814453
16	acov	optimised	50	1927	1.2633131790161132	0.10584766387939454
17	acov	optimised	50	1911	1.3870924425125122	0.11489840030670166
18	acov	optimised	50	1986	1.3528428411483764	0.11085958003997803
19	acov	optimised	50	2014	1.6510711812973022	0.13031577587127685
20	acov	optimised	50	1953	1.488136796951294	0.12133826732635498
21	acov	optimised	50	2008	1.4437500953674316	0.11823662281036378
22	acov	optimised	50	2055	1.5604578828811646	0.12483834266662598
23	acov	optimised	50	2043	1.6277582740783691	0.12924279212951661
24	acov	optimised	50	1911	1.375614013671875	0.11723319053649903
25	acov	optimised	50	1979	1.4382071495056152	0.11999306678771973
26	acov	optimised	50	2036	1.5580699729919434	0.12339042663574219
27	acov	optimised	50	2085	1.5886861038208009	0.12613713264465332
28	acov	optimised	50	1974	1.388612790107727	0.11462683200836182
29	acov	optimised	50	1918	1.3763070011138916	0.11632014274597167
30	acov	optimised	50	1974	1.513892002105713	0.12258702278137207
31	acov	optimised	50	1991	1.4452831363677978	0.12043297290802002
32	acov	optimised	50	1970	1.3546166038513183	0.11472023487091064
33	acov	optimised	50	2147	1.8533144330978393	0.1390196418762207
34	acov	optimised	50	2068	1.6115967988967896	0.12649691581726075
35	acov	optimised	50	1979	1.416250557899475	0.11710087776184082
36	acov	optimised	50	1910	2.3964692068099978	0.18452220439910888
37	acov	optimised	50	2013	1.3842689037322997	0.1106482744216919
