num num_robots	w	run_time	selected_info_types	trial	ave_run_time	max_ave_run_time	cost	average_cost
10	2	7310	['task_progress_status', 'waypoint']	9	6756.1	8755.1	1.234941919566881	1.1716759374535985
10	2	5249	['task_progress_status', 'waypoint']	10	6756.1	8755.1	0.9995362702881749	1.1716759374535985
10	2	9825	['task_progress_status', 'robot_lifter_status']	1	5956.333333333333	8755.1	1.522203058788592	1.0803272759115639
10	2	9517	['task_progress_status', 'robot_lifter_status']	2	5956.333333333333	8755.1	1.4870235634087559	1.0803272759115639
10	2	5222	['task_progress_status', 'robot_lifter_status']	3	5956.333333333333	8755.1	0.9964523534853971	1.0803272759115639
10	2	3857	['task_progress_status', 'robot_lifter_status']	4	5956.333333333333	8755.1	0.8405432262338522	1.0803272759115639
10	2	6087	['task_progress_status', 'robot_lifter_status']	5	5956.333333333333	8755.1	1.0952519103151306	1.0803272759115639
10	2	6218	['task_progress_status', 'robot_lifter_status']	6	5956.333333333333	8755.1	1.1102146177656451	1.0803272759115639
10	2	3767	['task_progress_status', 'robot_lifter_status']	7	5956.333333333333	8755.1	0.8302635035579262	1.0803272759115639
10	2	5451	['task_progress_status', 'robot_lifter_status']	8	5956.333333333333	8755.1	1.0226085367385866	1.0803272759115639
10	2	3663	['task_progress_status', 'robot_lifter_status']	9	5956.333333333333	8755.1	0.8183847129101895	1.0803272759115639
10	2	3723	['task_progress_status', 'robot_position_status']	1	4039.2	8755.1	0.8252378613608069	0.8613539536955603
10	2	4052	['task_progress_status', 'robot_position_status']	2	4039.2	8755.1	0.8628159586983587	0.8613539536955603
10	2	5588	['task_progress_status', 'robot_position_status']	3	4039.2	8755.1	1.038256559034163	0.8613539536955603
10	2	3020	['task_progress_status', 'robot_position_status']	4	4039.2	8755.1	0.7449418053477401	0.8613539536955603
10	2	4709	['task_progress_status', 'robot_position_status']	5	4039.2	8755.1	0.9378579342326187	0.8613539536955603
10	2	2816	['task_progress_status', 'robot_position_status']	6	4039.2	8755.1	0.7216411006156411	0.8613539536955603
10	2	4339	['task_progress_status', 'robot_position_status']	7	4039.2	8755.1	0.8955968521204783	0.8613539536955603
10	2	4768	['task_progress_status', 'robot_position_status']	8	4039.2	8755.1	0.9445968635423925	0.8613539536955603
10	2	3261	['task_progress_status', 'robot_position_status']	9	4039.2	8755.1	0.7724686182910532	0.8613539536955603
10	2	4116	['task_progress_status', 'robot_position_status']	10	4039.2	8755.1	0.8701259837123505	0.8613539536955603
10	3	4696	['task_progress_status', 'robot_position_status', 'robot_task_id_status']	1	3932.6	8755.1	1.1363730854016518	1.0491781932816302
10	3	3022	['task_progress_status', 'robot_position_status', 'robot_task_id_status']	2	3932.6	8755.1	0.9451702436294275	1.0491781932816302
10	3	3162	['task_progress_status', 'robot_position_status', 'robot_task_id_status']	3	3932.6	8755.1	0.9611609233475347	1.0491781932816302
10	3	3347	['task_progress_status', 'robot_position_status', 'robot_task_id_status']	4	3932.6	8755.1	0.9822914644036048	1.0491781932816302
10	3	3708	['task_progress_status', 'robot_position_status', 'robot_task_id_status']	5	3932.6	8755.1	1.0235245742481527	1.0491781932816302
10	3	4111	['task_progress_status', 'robot_position_status', 'robot_task_id_status']	6	3932.6	8755.1	1.0695548880081325	1.0491781932816302
10	3	3467	['task_progress_status', 'robot_position_status', 'robot_task_id_status']	7	3932.6	8755.1	0.9959977613048395	1.0491781932816302
10	3	3129	['task_progress_status', 'robot_position_status', 'robot_task_id_status']	8	3932.6	8755.1	0.9573916916996952	1.0491781932816302
10	3	6012	['task_progress_status', 'robot_position_status', 'robot_task_id_status']	9	3932.6	8755.1	1.286685474751859	1.0491781932816302
10	3	4672	['task_progress_status', 'robot_position_status', 'robot_task_id_status']	10	3932.6	8755.1	1.1336318260214049	1.0491781932816302
10	3	3941	['task_progress_status', 'robot_position_status', 'task_completion_status']	1	3540.8	8755.1	1.0501376340647166	1.0044271338990989
10	3	3408	['task_progress_status', 'robot_position_status', 'task_completion_status']	2	3540.8	8755.1	0.9892588319950658	1.0044271338990989
10	3	3696	['task_progress_status', 'robot_position_status', 'task_completion_status']	3	3540.8	8755.1	1.022153944558029	1.0044271338990989
10	3	3341	['task_progress_status', 'robot_position_status', 'task_completion_status']	4	3540.8	8755.1	0.9816061495585431	1.0044271338990989
10	3	3138	['task_progress_status', 'robot_position_status', 'task_completion_status']	5	3540.8	8755.1	0.9584196639672877	1.0044271338990989
10	3	3399	['task_progress_status', 'robot_position_status', 'task_completion_status']	6	3540.8	8755.1	0.9882308597274732	1.0044271338990989
10	3	3553	['task_progress_status', 'robot_position_status', 'task_completion_status']	7	3540.8	8755.1	1.005820607417391	1.0044271338990989
10	3	3274	['task_progress_status', 'robot_position_status', 'task_completion_status']	8	3540.8	8755.1	0.9739534671220204	1.0044271338990989
10	3	3572	['task_progress_status', 'robot_position_status', 'task_completion_status']	9	3540.8	8755.1	1.00799077109342	1.0044271338990989
10	3	4086	['task_progress_status', 'robot_position_status', 'task_completion_status']	10	3540.8	8755.1	1.066699409487042	1.0044271338990989
10	3	4627	['task_progress_status', 'robot_position_status', 'robot_pheromone_map']	1	4408.4	8755.1	1.1284919646834417	1.1035236604950258
10	3	5691	['task_progress_status', 'robot_position_status', 'robot_pheromone_map']	2	4408.4	8755.1	1.250021130541056	1.1035236604950258
10	3	3485	['task_progress_status', 'robot_position_status', 'robot_pheromone_map']	3	4408.4	8755.1	0.9980537058400247	1.1035236604950258
10	3	3799	['task_progress_status', 'robot_position_status', 'robot_pheromone_map']	4	4408.4	8755.1	1.0339185160649222	1.1035236604950258
10	3	3545	['task_progress_status', 'robot_position_status', 'robot_pheromone_map']	5	4408.4	8755.1	1.004906854290642	1.1035236604950258
10	3	6027	['task_progress_status', 'robot_position_status', 'robot_pheromone_map']	6	4408.4	8755.1	1.2883987618645132	1.1035236604950258
10	3	4362	['task_progress_status', 'robot_position_status', 'robot_pheromone_map']	7	4408.4	8755.1	1.0982238923598817	1.1035236604950258
10	3	3617	['task_progress_status', 'robot_position_status', 'robot_pheromone_map']	8	4408.4	8755.1	1.013130632431383	1.1035236604950258
10	3	2631	['task_progress_status', 'robot_position_status', 'robot_pheromone_map']	9	4408.4	8755.1	0.900510559559571	1.1035236604950258
10	3	6300	['task_progress_status', 'robot_position_status', 'robot_pheromone_map']	10	4408.4	8755.1	1.3195805873148223	1.1035236604950258
