num_robots,boxes,use_hm,fake_hm,counter,carry_counter
1,{'pink': 4},None,True,38749,[2002]
1,{'pink': 5},None,True,17340,[1366]
1,{'pink': 6},None,True,14673,[1868]
1,{'pink': 7},None,True,5029,[1495]
1,{'pink': 8},None,True,8827,[1597]
1,{'pink': 9},None,True,3849,[1521]
1,{'pink': 10},None,True,4856,[1575]
2,{'pink': 4},None,True,25899,"[273, 2584]"
2,{'pink': 5},None,True,20537,"[424, 672]"
2,{'pink': 6},None,True,5016,"[565, 433]"
2,{'pink': 7},None,True,3948,"[1127, 1958]"
2,{'pink': 8},None,True,2637,"[1482, 1302]"
2,{'pink': 9},None,True,3322,"[918, 420]"
2,{'pink': 10},None,True,4192,"[1283, 1107]"
3,{'pink': 4},None,True,9992,"[493, 788, 401]"
3,{'pink': 5},None,True,5060,"[1721, 707, 295]"
3,{'pink': 6},None,True,6470,"[85, 761, 514]"
3,{'pink': 7},None,True,3432,"[0, 1905, 413]"
3,{'pink': 8},None,True,3511,"[748, 355, 1701]"
3,{'pink': 9},None,True,4909,"[829, 1539, 291]"
3,{'pink': 10},None,True,1729,"[479, 224, 666]"
4,{'pink': 4},None,True,6636,"[223, 1439, 0, 253]"
4,{'pink': 5},None,True,4490,"[377, 199, 1347, 341]"
4,{'pink': 6},None,True,3910,"[1518, 0, 1287, 170]"
4,{'pink': 7},None,True,3188,"[1774, 883, 666, 452]"
4,{'pink': 8},None,True,1810,"[0, 752, 460, 1097]"
4,{'pink': 9},None,True,2600,"[1233, 820, 258, 1195]"
4,{'pink': 10},None,True,1761,"[0, 527, 293, 1007]"
5,{'pink': 4},None,True,3662,"[316, 0, 0, 311, 1677]"
5,{'pink': 5},None,True,3523,"[851, 0, 1133, 0, 543]"
5,{'pink': 6},None,True,2684,"[543, 272, 339, 0, 296]"
5,{'pink': 7},None,True,2428,"[382, 90, 320, 85, 1657]"
5,{'pink': 8},None,True,5116,"[2620, 378, 852, 386, 1653]"
5,{'pink': 9},None,True,1838,"[1199, 0, 156, 271, 1704]"
5,{'pink': 10},None,True,2999,"[2039, 382, 0, 153, 586]"
6,{'pink': 4},None,True,3893,"[154, 349, 0, 383, 0, 203]"
6,{'pink': 5},None,True,5174,"[0, 339, 963, 0, 0, 215]"
6,{'pink': 6},None,True,3151,"[0, 354, 293, 1781, 0, 307]"
6,{'pink': 7},None,True,2265,"[0, 0, 0, 192, 292, 654]"
6,{'pink': 8},None,True,2230,"[349, 1428, 223, 0, 0, 469]"
6,{'pink': 9},None,True,2485,"[0, 2172, 834, 191, 85, 363]"
6,{'pink': 10},None,True,3002,"[1478, 2232, 1806, 153, 0, 892]"
7,{'pink': 4},None,True,3770,"[1219, 0, 0, 0, 0, 855, 0]"
7,{'pink': 5},None,True,5326,"[0, 2717, 0, 0, 0, 1314, 341]"
7,{'pink': 6},None,True,4084,"[1973, 302, 1733, 0, 0, 0, 734]"
7,{'pink': 7},None,True,3055,"[2061, 0, 1252, 490, 307, 0, 0]"
7,{'pink': 8},None,True,1527,"[0, 0, 363, 0, 645, 878, 428]"
7,{'pink': 9},None,True,1155,"[0, 0, 1017, 253, 0, 191, 364]"
7,{'pink': 10},None,True,664,"[140, 356, 0, 0, 256, 162, 0]"
8,{'pink': 4},None,True,5241,"[0, 0, 0, 0, 751, 0, 2222, 139]"
8,{'pink': 5},None,True,2320,"[1445, 0, 698, 0, 0, 1100, 0, 253]"
8,{'pink': 6},None,True,3704,"[0, 375, 835, 0, 989, 0, 307, 163]"
8,{'pink': 7},None,True,1347,"[356, 1051, 452, 173, 0, 0, 0, 603]"
8,{'pink': 8},None,True,1811,"[320, 0, 344, 1445, 0, 946, 0, 685]"
8,{'pink': 9},None,True,1531,"[598, 0, 0, 559, 452, 225, 0, 0]"
8,{'pink': 10},None,True,2971,"[325, 2677, 1313, 1703, 1264, 0, 1794, 0]"
9,{'pink': 4},None,True,3675,"[0, 57, 0, 0, 427, 0, 0, 370, 1791]"
9,{'pink': 5},None,True,2291,"[0, 0, 575, 0, 0, 925, 339, 0, 908]"
9,{'pink': 6},None,True,2581,"[456, 0, 386, 1033, 0, 877, 0, 0, 340]"
9,{'pink': 7},None,True,1719,"[191, 0, 0, 0, 274, 1046, 0, 1191, 724]"
9,{'pink': 8},None,True,1723,"[0, 926, 469, 0, 257, 573, 0, 0, 288]"
9,{'pink': 9},None,True,1025,"[244, 302, 0, 988, 802, 0, 0, 389, 0]"
9,{'pink': 10},None,True,1732,"[929, 0, 465, 12, 1054, 665, 0, 0, 0]"
10,{'pink': 4},None,True,4465,"[0, 1613, 0, 0, 0, 230, 0, 0, 0, 418]"
10,{'pink': 5},None,True,2774,"[0, 0, 1912, 0, 0, 2362, 274, 0, 0, 418]"
