num_robots,boxes,use_hm,fake_hm,counter,carry_counter
1,"{'pink': 2, 'yellow': 2}",None,True,15723,[1824]
1,"{'pink': 3, 'yellow': 3}",None,True,18761,[1846]
1,"{'pink': 4, 'yellow': 4}",None,True,21068,[2205]
1,"{'pink': 5, 'yellow': 5}",None,True,13741,[1920]
1,"{'pink': 6, 'yellow': 6}",None,True,5895,[2267]
1,"{'pink': 7, 'yellow': 7}",None,True,3170,[1981]
1,"{'pink': 8, 'yellow': 8}",None,True,4252,[1656]
1,"{'pink': 9, 'yellow': 9}",None,True,3956,[2438]
1,"{'pink': 10, 'yellow': 10}",None,True,11220,[1848]
2,"{'pink': 2, 'yellow': 2}",None,True,20547,"[585, 1097]"
2,"{'pink': 3, 'yellow': 3}",None,True,5431,"[1923, 932]"
2,"{'pink': 4, 'yellow': 4}",None,True,8290,"[2242, 721]"
2,"{'pink': 5, 'yellow': 5}",None,True,4876,"[1205, 1248]"
2,"{'pink': 6, 'yellow': 6}",None,True,5105,"[1613, 515]"
2,"{'pink': 7, 'yellow': 7}",None,True,5739,"[1116, 3078]"
2,"{'pink': 8, 'yellow': 8}",None,True,2262,"[892, 1054]"
2,"{'pink': 9, 'yellow': 9}",None,True,3921,"[1867, 1997]"
2,"{'pink': 10, 'yellow': 10}",None,True,5653,"[2308, 2267]"
3,"{'pink': 2, 'yellow': 2}",None,True,16925,"[1169, 932, 348]"
3,"{'pink': 3, 'yellow': 3}",None,True,4944,"[639, 1323, 1297]"
3,"{'pink': 4, 'yellow': 4}",None,True,10335,"[1398, 528, 1793]"
3,"{'pink': 5, 'yellow': 5}",None,True,1477,"[905, 557, 698]"
3,"{'pink': 6, 'yellow': 6}",None,True,3978,"[949, 446, 1175]"
3,"{'pink': 7, 'yellow': 7}",None,True,2203,"[1331, 1600, 685]"
3,"{'pink': 8, 'yellow': 8}",None,True,2814,"[2166, 1086, 1222]"
3,"{'pink': 9, 'yellow': 9}",None,True,2278,"[1038, 660, 1279]"
3,"{'pink': 10, 'yellow': 10}",None,True,2657,"[1309, 0, 1021]"
4,"{'pink': 2, 'yellow': 2}",None,True,3730,"[439, 552, 991, 423]"
4,"{'pink': 3, 'yellow': 3}",None,True,4188,"[582, 376, 758, 201]"
4,"{'pink': 4, 'yellow': 4}",None,True,3220,"[1086, 361, 1275, 1178]"
4,"{'pink': 5, 'yellow': 5}",None,True,1798,"[0, 1055, 1089, 713]"
4,"{'pink': 6, 'yellow': 6}",None,True,2429,"[347, 857, 0, 1148]"
4,"{'pink': 7, 'yellow': 7}",None,True,1882,"[1612, 722, 917, 1091]"
4,"{'pink': 8, 'yellow': 8}",None,True,3238,"[1861, 0, 937, 1380]"
4,"{'pink': 9, 'yellow': 9}",None,True,3378,"[1591, 893, 1279, 0]"
4,"{'pink': 10, 'yellow': 10}",None,True,1739,"[1668, 876, 296, 162]"
5,"{'pink': 2, 'yellow': 2}",None,True,4930,"[0, 350, 0, 1017, 453]"
5,"{'pink': 3, 'yellow': 3}",None,True,1862,"[538, 0, 215, 752, 747]"
5,"{'pink': 4, 'yellow': 4}",None,True,5845,"[935, 2117, 770, 1313, 921]"
5,"{'pink': 5, 'yellow': 5}",None,True,1195,"[110, 795, 280, 390, 471]"
5,"{'pink': 6, 'yellow': 6}",None,True,1193,"[747, 637, 567, 765, 37]"
5,"{'pink': 7, 'yellow': 7}",None,True,1955,"[0, 1043, 490, 0, 391]"
