num_robots,boxes,use_hm,fake_hm,counter,carry_counter
1,"{'pink': 2, 'yellow': 2}",None,True,50001,[1357]
1,"{'pink': 3, 'yellow': 3}",None,True,16609,[1987]
1,"{'pink': 4, 'yellow': 4}",None,True,12865,[2455]
1,"{'pink': 5, 'yellow': 5}",None,True,10494,[919]
1,"{'pink': 6, 'yellow': 6}",None,True,7038,[2683]
1,"{'pink': 7, 'yellow': 7}",None,True,5744,[1588]
1,"{'pink': 8, 'yellow': 8}",None,True,5772,[2652]
1,"{'pink': 9, 'yellow': 9}",None,True,4615,[2866]
1,"{'pink': 10, 'yellow': 10}",None,True,6795,[1926]
2,"{'pink': 2, 'yellow': 2}",None,True,11553,"[985, 969]"
2,"{'pink': 3, 'yellow': 3}",None,True,21376,"[926, 1294]"
2,"{'pink': 4, 'yellow': 4}",None,True,10133,"[2669, 853]"
2,"{'pink': 5, 'yellow': 5}",None,True,13326,"[2021, 517]"
2,"{'pink': 6, 'yellow': 6}",None,True,5635,"[0, 2547]"
2,"{'pink': 7, 'yellow': 7}",None,True,6236,"[1746, 1467]"
2,"{'pink': 8, 'yellow': 8}",None,True,3543,"[1737, 1259]"
2,"{'pink': 9, 'yellow': 9}",None,True,3899,"[1843, 937]"
2,"{'pink': 10, 'yellow': 10}",None,True,1602,"[791, 701]"
3,"{'pink': 2, 'yellow': 2}",None,True,6503,"[570, 407, 273]"
3,"{'pink': 3, 'yellow': 3}",None,True,5968,"[841, 0, 1177]"
3,"{'pink': 4, 'yellow': 4}",None,True,9726,"[949, 2077, 399]"
3,"{'pink': 5, 'yellow': 5}",None,True,4396,"[895, 0, 1975]"
3,"{'pink': 6, 'yellow': 6}",None,True,7637,"[1839, 1651, 1890]"
3,"{'pink': 7, 'yellow': 7}",None,True,2777,"[1865, 354, 1507]"
3,"{'pink': 8, 'yellow': 8}",None,True,3367,"[1316, 1582, 1095]"
3,"{'pink': 9, 'yellow': 9}",None,True,1721,"[1092, 1198, 0]"
3,"{'pink': 10, 'yellow': 10}",None,True,2572,"[1197, 900, 663]"
4,"{'pink': 2, 'yellow': 2}",None,True,7699,"[1150, 406, 0, 310]"
4,"{'pink': 3, 'yellow': 3}",None,True,6361,"[1050, 0, 602, 1727]"
4,"{'pink': 4, 'yellow': 4}",None,True,3653,"[1378, 927, 0, 0]"
4,"{'pink': 5, 'yellow': 5}",None,True,4049,"[0, 1882, 1086, 411]"
4,"{'pink': 6, 'yellow': 6}",None,True,4255,"[1417, 2702, 296, 345]"
4,"{'pink': 7, 'yellow': 7}",None,True,2283,"[680, 841, 872, 0]"
4,"{'pink': 8, 'yellow': 8}",None,True,1703,"[237, 890, 694, 899]"
4,"{'pink': 9, 'yellow': 9}",None,True,1361,"[374, 1077, 1003, 629]"
4,"{'pink': 10, 'yellow': 10}",None,True,1751,"[90, 1310, 316, 744]"
5,"{'pink': 2, 'yellow': 2}",None,True,3770,"[782, 456, 339, 0, 510]"
5,"{'pink': 3, 'yellow': 3}",None,True,3172,"[218, 589, 300, 0, 237]"
5,"{'pink': 4, 'yellow': 4}",None,True,3758,"[613, 1488, 893, 973, 322]"
5,"{'pink': 5, 'yellow': 5}",None,True,1831,"[1214, 1123, 308, 790, 309]"
5,"{'pink': 6, 'yellow': 6}",None,True,1077,"[977, 197, 304, 297, 988]"
5,"{'pink': 7, 'yellow': 7}",None,True,2375,"[268, 494, 841, 1447, 629]"
5,"{'pink': 8, 'yellow': 8}",None,True,1366,"[748, 1133, 613, 942, 85]"
5,"{'pink': 9, 'yellow': 9}",None,True,1448,"[590, 0, 973, 348, 481]"
5,"{'pink': 10, 'yellow': 10}",None,True,1261,"[223, 748, 779, 309, 981]"
6,"{'pink': 2, 'yellow': 2}",None,True,7272,"[348, 47, 350, 0, 1309, 0]"
6,"{'pink': 3, 'yellow': 3}",None,True,2292,"[109, 119, 346, 0, 327, 0]"
6,"{'pink': 4, 'yellow': 4}",None,True,5912,"[631, 375, 1006, 409, 909, 876]"
6,"{'pink': 5, 'yellow': 5}",None,True,2546,"[0, 0, 974, 964, 890, 56]"
6,"{'pink': 6, 'yellow': 6}",None,True,1844,"[0, 297, 47, 0, 693, 1494]"
6,"{'pink': 7, 'yellow': 7}",None,True,1215,"[460, 84, 427, 0, 988, 1178]"
6,"{'pink': 8, 'yellow': 8}",None,True,1689,"[427, 295, 731, 169, 0, 641]"
6,"{'pink': 9, 'yellow': 9}",None,True,2468,"[272, 1020, 0, 1917, 2040, 1088]"
6,"{'pink': 10, 'yellow': 10}",None,True,2818,"[842, 1002, 1110, 1285, 2207, 1214]"
7,"{'pink': 2, 'yellow': 2}",None,True,4342,"[0, 170, 348, 0, 0, 162, 1303]"
7,"{'pink': 3, 'yellow': 3}",None,True,3374,"[575, 445, 451, 0, 0, 0, 715]"
7,"{'pink': 4, 'yellow': 4}",None,True,1744,"[610, 1093, 0, 122, 824, 583, 0]"
7,"{'pink': 5, 'yellow': 5}",None,True,2081,"[257, 1210, 1245, 514, 0, 533, 922]"
7,"{'pink': 6, 'yellow': 6}",None,True,2625,"[0, 1358, 926, 1329, 1325, 814, 1815]"
7,"{'pink': 7, 'yellow': 7}",None,True,2505,"[0, 1453, 670, 0, 1324, 0, 0]"
7,"{'pink': 8, 'yellow': 8}",None,True,896,"[489, 498, 788, 720, 839, 209, 421]"
7,"{'pink': 9, 'yellow': 9}",None,True,654,"[310, 0, 295, 498, 335, 555, 0]"
7,"{'pink': 10, 'yellow': 10}",None,True,1013,"[879, 862, 0, 631, 916, 238, 704]"
8,"{'pink': 2, 'yellow': 2}",None,True,1220,"[0, 0, 0, 237, 391, 958, 0, 491]"
8,"{'pink': 3, 'yellow': 3}",None,True,1717,"[0, 676, 0, 702, 710, 524, 0, 0]"
8,"{'pink': 4, 'yellow': 4}",None,True,999,"[887, 383, 714, 0, 0, 0, 216, 559]"
8,"{'pink': 5, 'yellow': 5}",None,True,1897,"[324, 462, 0, 1288, 0, 1013, 151, 274]"
8,"{'pink': 6, 'yellow': 6}",None,True,1548,"[0, 592, 449, 581, 925, 274, 629, 0]"
8,"{'pink': 7, 'yellow': 7}",None,True,1791,"[565, 1226, 751, 197, 781, 91, 1214, 1111]"
8,"{'pink': 8, 'yellow': 8}",None,True,1688,"[0, 909, 0, 0, 1540, 608, 1220, 8]"
8,"{'pink': 9, 'yellow': 9}",None,True,1336,"[0, 924, 347, 431, 816, 621, 0, 1178]"
8,"{'pink': 10, 'yellow': 10}",None,True,1287,"[459, 416, 356, 707, 504, 628, 836, 975]"
9,"{'pink': 2, 'yellow': 2}",None,True,3767,"[656, 0, 0, 0, 745, 0, 424, 264, 0]"
9,"{'pink': 3, 'yellow': 3}",None,True,2867,"[0, 345, 0, 0, 1062, 0, 869, 0, 694]"
9,"{'pink': 4, 'yellow': 4}",None,True,2006,"[849, 1125, 1153, 0, 221, 0, 345, 525, 970]"
9,"{'pink': 5, 'yellow': 5}",None,True,1410,"[0, 888, 0, 561, 684, 0, 425, 0, 398]"
9,"{'pink': 6, 'yellow': 6}",None,True,1178,"[522, 591, 0, 1, 0, 635, 391, 818, 0]"
9,"{'pink': 7, 'yellow': 7}",None,True,2355,"[987, 0, 1038, 1126, 203, 949, 1317, 0, 1288]"
9,"{'pink': 8, 'yellow': 8}",None,True,546,"[326, 0, 419, 0, 0, 125, 0, 257, 302]"
9,"{'pink': 9, 'yellow': 9}",None,True,1314,"[599, 223, 0, 0, 0, 1101, 95, 1219, 0]"
9,"{'pink': 10, 'yellow': 10}",None,True,1339,"[256, 880, 949, 691, 1226, 560, 1219, 824, 0]"
10,"{'pink': 2, 'yellow': 2}",None,True,2385,"[537, 613, 0, 0, 1873, 0, 0, 0, 0, 0]"
