INFO_TYPES: robot_position	robot_led_status	robot_lifter_status	robot_heading	robot_speed_status	robot_task_id	robot_pheromone_map	chosen_door	waypoint
generation	genome	ave_time	tot_weight	fitness
0	[0, 0, 0, 1, 0, 1, 0, 1, 1]	9906.0	4	1.577294769385289
0	[1, 0, 0, 0, 0, 0, 0, 0, 1]	9441.2	2	1.1408232764708652
0	[0, 1, 1, 0, 0, 1, 0, 1, 1]	12744.2	5	2.0
0	[0, 1, 0, 1, 1, 1, 0, 0, 1]	11930.0	5	1.9361121137458608
0	[1, 0, 0, 1, 1, 0, 1, 1, 0]	11306.6	5	1.8871957439462657
0	[1, 0, 1, 0, 0, 0, 1, 1, 1]	10757.0	5	1.8440702437187113
0	[1, 0, 1, 1, 1, 1, 0, 0, 1]	9699.8	6	1.9611148600932191
0	[0, 0, 0, 1, 0, 0, 0, 1, 0]	11329.4	2	1.2889847930823433
0	[0, 0, 1, 0, 1, 1, 1, 0, 1]	12505.4	5	1.9812620643116083
0	[0, 1, 1, 1, 0, 1, 0, 1, 1]	11988.8	6	2.140725977307324
1	[1, 0, 0, 0, 0, 0, 0, 0, 1]	11505.8	2	1.4
1	[0, 0, 0, 1, 0, 0, 0, 1, 0]	8988.8	2	1.1812407655269517
1	[0, 0, 0, 1, 0, 1, 0, 1, 1]	8405.8	4	1.5305706687062177
1	[1, 0, 0, 1, 0, 0, 0, 0, 0]	11050.4	2	1.3604199621060684
1	[0, 0, 0, 1, 1, 0, 1, 1, 0]	8871.0	4	1.571002450937788
1	[1, 0, 0, 0, 0, 1, 0, 1, 1]	11222.4	4	1.7753689443584975
1	[0, 1, 0, 1, 1, 0, 1, 1, 0]	10681.2	5	1.928331797875854
1	[0, 1, 1, 0, 1, 0, 1, 0, 0]	10470.8	4	1.7100453684228825
1	[0, 0, 0, 1, 1, 1, 0, 0, 1]	10594.6	4	1.720805159137131
1	[1, 0, 1, 1, 1, 0, 0, 1, 1]	9828.2	6	2.054195275426307
2	[0, 0, 0, 1, 0, 0, 0, 1, 0]	9795.2	2	1.2061494905601369
2	[1, 0, 0, 1, 0, 0, 0, 0, 0]	11929.4	2	1.3817951376886737
2	[1, 0, 0, 0, 0, 0, 0, 0, 1]	12150.6	2	1.4
2	[1, 1, 0, 0, 1, 1, 0, 1, 1]	10889.6	6	2.0962191167514366
2	[1, 0, 1, 0, 0, 1, 0, 1, 1]	9914.6	5	1.8159761657860516
2	[0, 1, 0, 1, 1, 0, 1, 1, 0]	9975.6	5	1.8209964940002963
2	[1, 1, 1, 1, 1, 0, 0, 1, 1]	11077.2	7	2.3116586835218014
2	[1, 0, 0, 1, 0, 0, 0, 0, 1]	11368.8	3	1.535657498395141
2	[1, 0, 0, 0, 0, 1, 1, 0, 0]	9267.6	3	1.362727766530048
2	[0, 0, 0, 1, 0, 0, 0, 1, 0]	10664.6	2	1.2777015126825013
3	[0, 0, 0, 1, 0, 0, 0, 1, 0]	9384.4	2	1.1915050099524307
3	[0, 0, 0, 1, 0, 0, 0, 1, 0]	9844.0	2	1.230268884315644
3	[1, 0, 0, 0, 0, 1, 1, 0, 0]	11241.8	3	1.5481630174420566
3	[0, 0, 0, 1, 0, 0, 0, 1, 0]	10913.4	2	1.3204648965959314
3	[0, 0, 0, 1, 0, 0, 0, 1, 0]	10211.2	2	1.2612394993421274
3	[1, 0, 0, 0, 0, 0, 0, 0, 1]	11269.6	2	1.3505077426537566
3	[1, 1, 1, 1, 1, 0, 0, 1, 1]	10340.2	7	2.2721196990654837
3	[1, 1, 1, 1, 1, 0, 0, 1, 0]	9281.2	6	1.9828008501737462
