INFO_TYPES: robot_position	robot_led_status	robot_lifter_status	robot_heading	robot_speed_status	robot_task_id	robot_pheromone_map	chosen_door	waypoint
generation	genome	ave_time	tot_weight	fitness
0	[1, 1, 0, 1, 1, 1, 0, 1, 1]	2302.0	7	10.4
0	[0, 0, 1, 0, 0, 0, 1, 1, 0]	4455.0	3	3.0
0	[1, 1, 0, 0, 0, 1, 1, 1, 0]	10527.0	5	17.2
0	[0, 0, 1, 1, 0, 1, 0, 1, 0]	6213.0	4	6.8
0	[0, 0, 0, 1, 1, 0, 1, 1, 0]	7871.0	4	11.6
0	[1, 0, 1, 0, 1, 1, 0, 0, 1]	7527.0	5	13.0
0	[1, 1, 1, 1, 1, 1, 0, 0, 1]	3837.0	7	13.200000000000001
0	[0, 1, 1, 1, 0, 0, 0, 1, 1]	8292.0	5	15.8
0	[0, 0, 1, 0, 1, 0, 1, 1, 0]	5249.0	4	6.4
0	[1, 0, 0, 0, 0, 1, 1, 1, 1]	6315.0	5	12.600000000000001
0	[1, 1, 1, 0, 1, 1, 1, 0, 0]	8864.0	6	21.6
0	[1, 1, 0, 1, 1, 1, 0, 0, 0]	2503.0	5	7.4
0	[1, 1, 0, 0, 1, 0, 1, 0, 1]	7110.0	5	15.2
0	[1, 1, 0, 0, 1, 0, 1, 0, 1]	5612.0	5	13.0
0	[0, 1, 1, 1, 1, 0, 0, 0, 1]	9567.0	5	21.8
1	[0, 0, 1, 0, 0, 0, 1, 1, 0]	4977.0	3	6.0
1	[0, 0, 1, 0, 1, 0, 1, 1, 0]	7753.0	4	14.6
1	[0, 0, 1, 1, 0, 1, 0, 1, 0]	2804.0	4	6.4
1	[1, 1, 0, 1, 1, 1, 0, 0, 0]	2659.0	5	9.4
1	[1, 1, 0, 1, 1, 1, 0, 1, 1]	2327.0	7	12.200000000000001
1	[0, 0, 0, 1, 1, 0, 1, 1, 0]	4126.0	4	8.2
1	[1, 0, 0, 1, 1, 0, 1, 1, 0]	2208.0	5	7.2
1	[0, 0, 1, 1, 1, 1, 0, 0, 1]	7694.0	5	20.0
1	[0, 0, 1, 1, 0, 1, 1, 1, 0]	6557.0	5	17.8
1	[0, 0, 1, 0, 0, 1, 0, 1, 1]	5554.0	4	11.0
1	[1, 0, 1, 1, 0, 1, 0, 1, 0]	2625.0	5	11.600000000000001
1	[0, 0, 1, 0, 0, 0, 1, 0, 1]	6688.0	3	10.8
1	[1, 0, 1, 0, 1, 0, 1, 1, 0]	8231.0	5	24.4
1	[0, 0, 0, 1, 1, 0, 1, 1, 0]	7112.0	4	15.8
1	[0, 0, 1, 1, 0, 0, 1, 1, 0]	5860.0	4	13.600000000000001
2	[0, 0, 1, 0, 0, 0, 1, 1, 0]	5519.0	3	6.8
2	[0, 0, 1, 1, 0, 1, 0, 1, 0]	8215.0	4	16.8
2	[1, 0, 0, 1, 1, 0, 1, 1, 0]	2368.0	5	9.0
2	[0, 0, 0, 1, 1, 0, 1, 1, 0]	5915.0	4	12.600000000000001
2	[1, 1, 0, 1, 1, 1, 0, 0, 0]	2211.0	5	8.8
2	[0, 0, 1, 0, 0, 0, 1, 0, 1]	7472.0	3	12.6
2	[0, 0, 1, 0, 1, 0, 1, 0, 0]	8536.0	3	16.4
2	[0, 0, 1, 0, 0, 0, 1, 1, 0]	4097.0	3	8.2
2	[1, 0, 0, 1, 0, 0, 0, 1, 0]	2789.0	3	8.0
2	[0, 0, 1, 1, 0, 1, 1, 0, 0]	8463.0	4	19.4
2	[0, 1, 1, 1, 0, 1, 1, 1, 1]	6390.0	7	20.200000000000003
2	[1, 0, 0, 1, 1, 0, 1, 1, 0]	2606.0	5	12.600000000000001
2	[0, 0, 1, 1, 0, 0, 1, 1, 0]	6180.0	4	15.2
2	[1, 0, 0, 1, 1, 1, 0, 1, 0]	2373.0	5	12.4
2	[0, 0, 1, 0, 0, 0, 0, 1, 0]	7227.0	2	10.0
3	[0, 0, 1, 0, 0, 0, 1, 1, 0]	8302.0	3	16.4
3	[1, 0, 0, 1, 0, 0, 0, 1, 0]	2097.0	3	3.2
3	[0, 0, 1, 0, 0, 0, 1, 1, 0]	8019.0	3	17.0
3	[1, 1, 0, 1, 1, 1, 0, 0, 0]	2626.0	5	14.0
3	[1, 0, 0, 1, 1, 0, 1, 1, 0]	2333.0	5	11.8
3	[0, 0, 1, 0, 0, 0, 0, 1, 0]	6958.0	2	11.0
3	[0, 0, 0, 0, 0, 0, 1, 1, 0]	6384.0	2	9.8
3	[1, 1, 0, 1, 1, 1, 0, 0, 0]	2246.0	5	11.600000000000001
3	[1, 0, 0, 0, 1, 0, 1, 1, 0]	6831.0	4	16.4
3	[0, 0, 1, 1, 0, 0, 0, 1, 0]	6028.0	3	12.8
3	[1, 1, 0, 1, 0, 0, 1, 1, 0]	2410.0	5	14.4
3	[1, 0, 0, 1, 1, 1, 0, 0, 0]	2511.0	4	12.2
3	[0, 0, 1, 0, 1, 0, 1, 1, 1]	7790.0	5	23.200000000000003
3	[1, 1, 0, 1, 0, 0, 0, 0, 0]	2098.0	3	6.6000000000000005
3	[0, 0, 0, 0, 0, 0, 1, 1, 0]	5706.0	2	8.6
4	[1, 0, 0, 1, 0, 0, 0, 1, 0]	2482.0	3	6.800000000000001
4	[1, 1, 0, 1, 0, 0, 0, 0, 0]	3230.0	3	9.600000000000001
4	[0, 0, 0, 0, 0, 0, 1, 1, 0]	6682.0	2	8.8
4	[0, 0, 0, 0, 0, 0, 1, 1, 0]	7936.0	2	12.6
4	[0, 0, 1, 0, 0, 0, 0, 1, 0]	5852.0	2	8.4
4	[1, 1, 0, 1, 1, 1, 0, 0, 0]	2097.0	5	9.600000000000001
4	[1, 1, 1, 0, 0, 0, 1, 1, 1]	6980.0	6	20.200000000000003
4	[0, 0, 0, 1, 0, 0, 1, 1, 0]	8999.0	3	19.4
4	[1, 1, 0, 0, 0, 0, 0, 1, 0]	8823.0	3	19.2
4	[0, 0, 1, 0, 0, 0, 0, 0, 0]	9646.0	1	14.0
4	[0, 0, 0, 1, 0, 0, 0, 1, 0]	7137.0	2	13.2
4	[0, 0, 1, 0, 0, 0, 0, 1, 0]	6221.0	2	11.0
4	[1, 0, 0, 1, 0, 0, 0, 1, 0]	3453.0	3	13.0
4	[1, 1, 0, 1, 0, 0, 1, 1, 0]	2510.0	5	13.4
4	[1, 0, 0, 1, 0, 0, 1, 1, 0]	2218.0	4	9.8
5	[1, 0, 0, 1, 0, 0, 0, 1, 0]	1990.0	3	3.2
5	[0, 0, 1, 0, 0, 0, 0, 1, 0]	6078.0	2	12.0
5	[0, 0, 0, 0, 0, 0, 1, 1, 0]	6094.0	2	13.8
5	[1, 1, 0, 1, 0, 0, 0, 0, 0]	2264.0	3	8.0
5	[1, 1, 0, 1, 1, 1, 0, 0, 0]	2514.0	5	15.600000000000001
5	[1, 0, 0, 1, 0, 0, 1, 1, 0]	3361.0	4	16.4
5	[0, 0, 1, 0, 0, 0, 0, 1, 0]	7279.0	2	15.6
5	[1, 0, 0, 1, 0, 0, 0, 1, 0]	2546.0	3	12.8
5	[0, 0, 1, 0, 0, 0, 0, 1, 0]	4870.0	2	13.4
5	[1, 1, 0, 1, 1, 0, 0, 0, 1]	2533.0	5	17.4
5	[1, 0, 0, 1, 1, 1, 1, 0, 1]	2017.0	6	12.200000000000001
5	[1, 1, 0, 1, 0, 0, 0, 1, 0]	2468.0	4	12.2
5	[1, 0, 0, 1, 0, 0, 0, 1, 0]	2074.0	3	7.6000000000000005
5	[1, 1, 0, 1, 1, 0, 0, 0, 0]	2838.0	4	17.0
5	[1, 0, 0, 1, 0, 1, 0, 1, 0]	2221.0	4	11.8
6	[1, 0, 0, 1, 0, 0, 0, 1, 0]	2144.0	3	6.6
6	[1, 0, 0, 1, 0, 0, 0, 1, 0]	1961.0	3	3.4000000000000004
6	[1, 1, 0, 1, 0, 0, 0, 0, 0]	2299.0	3	11.2
6	[1, 0, 0, 1, 0, 1, 0, 1, 0]	1902.0	4	9.600000000000001
6	[0, 0, 1, 0, 0, 0, 0, 1, 0]	5404.0	2	12.0
6	[1, 1, 0, 1, 0, 0, 0, 1, 0]	2095.0	4	13.4
6	[1, 0, 0, 1, 0, 0, 0, 1, 0]	2326.0	3	13.0
6	[1, 0, 0, 1, 0, 0, 0, 1, 0]	2272.0	3	11.8
6	[1, 0, 0, 1, 0, 0, 0, 1, 0]	1994.0	3	7.6000000000000005
6	[1, 0, 0, 1, 0, 0, 0, 1, 0]	2239.0	3	12.4
6	[1, 0, 0, 1, 0, 0, 0, 1, 0]	2579.0	3	18.2
6	[1, 1, 0, 1, 1, 0, 0, 1, 0]	2102.0	5	15.200000000000001
6	[0, 0, 1, 0, 0, 0, 0, 1, 0]	6328.0	2	13.8
6	[1, 0, 0, 1, 0, 0, 0, 1, 0]	2382.0	3	18.0
6	[0, 0, 0, 1, 0, 1, 0, 1, 0]	8340.0	3	22.8
7	[1, 0, 0, 1, 0, 0, 0, 1, 0]	2525.0	3	10.8
7	[1, 0, 0, 1, 0, 0, 0, 1, 0]	2107.0	3	4.6
7	[1, 0, 0, 1, 0, 0, 0, 1, 0]	2095.0	3	3.4000000000000004
7	[1, 0, 0, 1, 0, 1, 0, 1, 0]	2227.0	4	14.600000000000001
7	[1, 1, 0, 1, 0, 0, 0, 0, 0]	2264.0	3	10.2
7	[1, 0, 0, 1, 0, 0, 0, 1, 0]	2235.0	3	10.0
7	[1, 1, 0, 1, 0, 0, 0, 0, 0]	2446.0	3	12.8
7	[1, 1, 0, 1, 1, 0, 0, 1, 1]	4182.0	6	22.200000000000003
7	[1, 0, 0, 1, 0, 0, 1, 1, 0]	2001.0	4	10.4
7	[0, 1, 0, 1, 0, 0, 0, 1, 0]	7455.0	3	19.6
7	[1, 0, 0, 1, 0, 0, 0, 1, 0]	2097.0	3	8.4
7	[0, 0, 0, 0, 0, 0, 0, 0, 0]	7405.0	0	13.0
7	[1, 0, 0, 1, 0, 0, 0, 1, 0]	2153.0	3	11.2
7	[0, 0, 0, 1, 0, 1, 0, 1, 0]	5690.0	3	20.0
7	[1, 0, 0, 1, 0, 0, 0, 1, 0]	2508.0	3	17.8
8	[1, 0, 0, 1, 0, 0, 0, 1, 0]	3156.0	3	14.0
8	[1, 0, 0, 1, 0, 0, 0, 1, 0]	3091.0	3	13.8
8	[1, 0, 0, 1, 0, 0, 0, 1, 0]	2350.0	3	3.6
8	[1, 0, 0, 1, 0, 0, 0, 1, 0]	2454.0	3	8.4
8	[1, 1, 0, 1, 0, 0, 0, 0, 0]	2087.0	3	3.2
8	[1, 0, 0, 1, 0, 0, 1, 1, 0]	2752.0	4	20.6
8	[1, 0, 1, 1, 0, 0, 0, 1, 0]	2707.0	4	18.4
8	[1, 0, 0, 1, 0, 0, 1, 1, 0]	2849.0	4	23.200000000000003
8	[1, 0, 0, 1, 0, 0, 0, 1, 0]	2707.0	3	13.0
8	[1, 0, 0, 1, 0, 0, 0, 1, 0]	2442.0	3	9.8
8	[1, 0, 0, 1, 0, 0, 0, 1, 0]	2222.0	3	6.6000000000000005
8	[1, 0, 0, 1, 0, 0, 0, 1, 0]	2420.0	3	10.4
8	[1, 0, 0, 1, 0, 0, 0, 1, 0]	2748.0	3	17.2
8	[1, 0, 0, 1, 0, 0, 0, 1, 0]	2383.0	3	11.0
8	[1, 0, 0, 1, 0, 0, 0, 1, 0]	2600.0	3	15.8
9	[1, 1, 0, 1, 0, 0, 0, 0, 0]	2578.0	3	9.6
9	[1, 0, 0, 1, 0, 0, 0, 1, 0]	3603.0	3	15.4
9	[1, 0, 0, 1, 0, 0, 0, 1, 0]	2171.0	3	5.2
9	[1, 0, 0, 1, 0, 0, 0, 1, 0]	2715.0	3	15.0
9	[1, 0, 0, 1, 0, 0, 0, 1, 0]	2190.0	3	7.800000000000001
9	[1, 0, 0, 1, 0, 0, 0, 1, 0]	2101.0	3	5.6000000000000005
9	[1, 0, 0, 1, 0, 0, 0, 0, 0]	3196.0	2	12.0
9	[1, 1, 1, 1, 0, 0, 0, 1, 0]	2530.0	5	18.200000000000003
9	[1, 0, 1, 1, 0, 0, 0, 1, 0]	2328.0	4	13.8
9	[1, 1, 0, 1, 0, 0, 0, 0, 0]	2407.0	3	12.4
9	[1, 0, 0, 1, 0, 1, 0, 1, 0]	2246.0	4	13.600000000000001
9	[0, 0, 0, 1, 0, 1, 0, 1, 0]	7464.0	3	21.2
9	[1, 1, 0, 1, 0, 0, 0, 1, 0]	2663.0	4	19.4
9	[1, 0, 0, 1, 0, 0, 0, 0, 0]	2161.0	2	1.8
9	[1, 0, 0, 1, 0, 0, 0, 1, 0]	2669.0	3	18.0
10	[1, 0, 0, 1, 0, 0, 0, 0, 0]	2117.0	2	1.0
10	[1, 0, 0, 1, 0, 0, 0, 1, 0]	2906.0	3	15.0
10	[1, 0, 0, 1, 0, 0, 0, 1, 0]	2415.0	3	10.8
10	[1, 0, 0, 1, 0, 0, 0, 1, 0]	2610.0	3	15.600000000000001
10	[1, 1, 0, 1, 0, 0, 0, 0, 0]	1995.0	3	6.4
10	[1, 0, 0, 1, 0, 0, 0, 0, 0]	2133.0	2	2.8
10	[1, 0, 0, 1, 0, 0, 0, 1, 0]	2427.0	3	14.2
10	[1, 0, 0, 1, 0, 1, 0, 0, 0]	2441.0	3	16.0
10	[1, 0, 0, 1, 0, 0, 0, 1, 0]	3182.0	3	21.8
10	[1, 1, 0, 1, 0, 0, 0, 0, 0]	2947.0	3	21.6
10	[1, 0, 0, 1, 0, 0, 0, 0, 0]	2282.0	2	4.6
10	[1, 0, 0, 1, 0, 0, 0, 0, 0]	2322.0	2	6.4
10	[1, 0, 0, 1, 0, 0, 0, 0, 0]	2372.0	2	8.2
10	[1, 1, 0, 1, 0, 0, 0, 0, 0]	2494.0	3	19.4
10	[0, 0, 0, 1, 0, 0, 0, 1, 1]	9623.0	3	25.200000000000003
11	[1, 0, 0, 1, 0, 0, 0, 0, 0]	1995.0	2	2.8
11	[1, 0, 0, 1, 0, 0, 0, 0, 0]	1987.0	2	2.6
11	[1, 0, 0, 1, 0, 0, 0, 0, 0]	4164.0	2	14.4
11	[1, 1, 0, 1, 0, 0, 0, 0, 0]	2637.0	3	18.4
11	[1, 0, 0, 1, 0, 0, 0, 0, 0]	3568.0	2	13.2
11	[1, 0, 0, 1, 0, 0, 0, 0, 0]	3620.0	2	15.0
11	[1, 0, 0, 1, 0, 0, 0, 0, 0]	2178.0	2	8.8
11	[1, 0, 0, 1, 0, 0, 0, 0, 0]	2652.0	2	14.600000000000001
11	[0, 0, 0, 1, 0, 0, 0, 0, 0]	7786.0	1	14.0
11	[1, 0, 0, 1, 0, 0, 0, 0, 0]	2329.0	2	12.4
11	[1, 0, 0, 1, 0, 0, 0, 1, 0]	4423.0	3	24.200000000000003
11	[1, 0, 0, 1, 0, 0, 0, 0, 0]	2146.0	2	10.2
11	[1, 0, 0, 1, 0, 0, 0, 0, 0]	2628.0	2	15.0
11	[1, 0, 0, 1, 0, 0, 0, 0, 0]	2195.0	2	13.8
11	[1, 0, 0, 1, 0, 0, 0, 0, 0]	1931.0	2	9.600000000000001
12	[1, 0, 0, 1, 0, 0, 0, 0, 0]	1951.0	2	1.6
12	[1, 0, 0, 1, 0, 0, 0, 0, 0]	2316.0	2	8.4
12	[1, 0, 0, 1, 0, 0, 0, 0, 0]	2729.0	2	14.2
12	[1, 0, 0, 1, 0, 0, 0, 0, 0]	2439.0	2	12.0
12	[1, 0, 0, 1, 0, 0, 0, 0, 0]	3032.0	2	16.8
12	[1, 0, 0, 1, 0, 0, 0, 0, 0]	2254.0	2	10.600000000000001
12	[1, 0, 0, 1, 0, 0, 1, 0, 0]	1976.0	3	12.200000000000001
12	[1, 0, 0, 1, 0, 0, 0, 0, 0]	2374.0	2	13.4
12	[1, 0, 0, 1, 0, 0, 0, 0, 0]	2155.0	2	10.2
12	[1, 0, 0, 1, 0, 0, 0, 0, 0]	2485.0	2	18.0
12	[0, 0, 0, 1, 0, 0, 0, 0, 0]	7159.0	1	13.0
12	[1, 0, 0, 1, 0, 0, 0, 0, 0]	2042.0	2	10.8
12	[0, 0, 0, 1, 0, 0, 0, 0, 0]	7439.0	1	14.8
12	[1, 0, 0, 1, 0, 0, 0, 0, 0]	2251.0	2	13.600000000000001
12	[1, 0, 0, 1, 0, 0, 0, 0, 0]	2458.0	2	19.4
13	[1, 0, 0, 1, 0, 0, 0, 0, 0]	2644.0	2	9.6
13	[1, 0, 0, 1, 0, 0, 0, 0, 0]	2245.0	2	4.4
13	[1, 0, 0, 1, 0, 0, 0, 0, 0]	2759.0	2	12.2
13	[1, 0, 0, 1, 0, 0, 0, 0, 0]	2326.0	2	8.0
13	[1, 0, 0, 1, 0, 0, 0, 0, 0]	4060.0	2	15.8
13	[1, 0, 0, 1, 0, 0, 0, 0, 0]	2525.0	2	11.600000000000001
13	[1, 0, 0, 1, 0, 0, 0, 0, 0]	2496.0	2	11.4
13	[0, 1, 0, 1, 0, 0, 0, 0, 0]	7017.0	2	21.2
13	[1, 0, 0, 1, 0, 0, 1, 0, 0]	3238.0	3	20.4
13	[1, 0, 0, 1, 0, 0, 0, 0, 0]	2557.0	2	15.0
13	[1, 0, 0, 1, 0, 1, 0, 0, 0]	1992.0	3	11.200000000000001
13	[1, 0, 0, 1, 0, 0, 0, 0, 0]	2264.0	2	11.8
13	[1, 0, 0, 0, 0, 0, 0, 0, 0]	6916.0	1	13.0
