INFO_TYPES: robot_position	robot_led_status	robot_lifter_status	robot_heading	robot_speed_status	robot_task_id	robot_pheromone_map	chosen_door	waypoint
generation	genome	ave_time	tot_weight	fitness
0	[1, 0, 1, 0, 0, 1, 0, 0, 0]	9725.2	3	1.2924511912051608
0	[0, 0, 0, 0, 1, 1, 0, 0, 0]	13915.2	2	1.3907864944533843
0	[1, 0, 1, 0, 0, 1, 1, 1, 1]	9918.6	6	1.9062216083049714
0	[1, 1, 0, 0, 1, 1, 0, 1, 0]	10211.8	5	1.727097959358045
0	[0, 0, 0, 1, 1, 1, 1, 0, 1]	14044.6	5	2.0
0	[0, 0, 1, 0, 0, 0, 0, 1, 0]	12785.4	2	1.3103427651908919
0	[0, 1, 1, 0, 0, 0, 0, 1, 1]	10428.0	4	1.5424917761986814
0	[1, 0, 1, 1, 0, 0, 1, 0, 0]	4215.6	4	1.1001580678695015
0	[0, 1, 0, 0, 1, 0, 0, 1, 0]	12017.6	3	1.4556740669011579
0	[0, 1, 1, 1, 0, 1, 1, 1, 0]	11422.8	6	2.0133232701536534
1	[1, 0, 1, 1, 0, 0, 1, 0, 0]	4547.0	4	1.1487551580788171
1	[1, 0, 1, 0, 0, 1, 0, 0, 0]	7161.8	3	1.1493104664897453
1	[0, 0, 1, 0, 0, 0, 0, 1, 0]	10638.8	2	1.2159965638374572
1	[1, 1, 0, 0, 1, 1, 0, 1, 0]	7622.8	5	1.5846691926552026
1	[0, 0, 0, 1, 1, 1, 1, 0, 0]	13037.8	4	1.8
1	[1, 0, 1, 0, 0, 1, 0, 0, 0]	8315.8	3	1.2378223319885258
1	[1, 0, 1, 0, 1, 1, 1, 1, 1]	7595.0	7	1.982536931077329
1	[1, 1, 0, 0, 1, 1, 0, 1, 1]	10491.8	6	2.0047216554940253
1	[1, 0, 0, 0, 1, 1, 0, 1, 0]	9831.2	4	1.5540535979996628
1	[0, 1, 1, 1, 0, 1, 1, 1, 0]	10433.8	6	2.0002730522020586
2	[1, 0, 1, 1, 0, 0, 1, 0, 0]	4501.4	4	1.132746895328208
2	[1, 0, 1, 0, 0, 1, 0, 0, 0]	8212.8	3	1.207096392667061
2	[0, 0, 1, 0, 0, 0, 0, 1, 0]	9711.0	2	1.1178444707273802
2	[1, 0, 1, 0, 0, 1, 0, 0, 0]	11861.4	3	1.4768036664695448
2	[1, 0, 0, 0, 1, 1, 0, 0, 0]	10218.4	3	1.3553518628030752
2	[1, 0, 1, 0, 1, 1, 1, 1, 1]	8884.6	7	2.0567563571850975
2	[0, 0, 0, 1, 1, 1, 1, 0, 0]	13504.6	4	1.798270254287404
2	[1, 0, 1, 0, 0, 1, 0, 0, 0]	9401.2	3	1.2949438202247192
2	[1, 0, 1, 1, 0, 1, 0, 0, 0]	4391.8	4	1.124645180366647
2	[1, 1, 0, 0, 1, 1, 0, 1, 1]	13528.0	6	2.2
3	[0, 0, 1, 0, 0, 0, 0, 1, 0]	12500.6	2	1.3399512752646776
3	[1, 0, 1, 1, 0, 1, 0, 0, 0]	4569.8	4	1.1436146535129934
3	[1, 0, 1, 1, 0, 0, 1, 0, 0]	4787.8	4	1.1600066169393648
3	[1, 0, 1, 0, 0, 1, 0, 0, 0]	8005.4	3	1.2019459817131857
3	[1, 1, 0, 0, 1, 1, 0, 1, 1]	8419.6	6	1.8330907122232918
3	[1, 0, 1, 0, 1, 1, 0, 0, 0]	10760.0	4	1.6090712223291628
3	[0, 0, 1, 0, 0, 0, 0, 1, 0]	12427.2	2	1.334432146294514
3	[1, 0, 1, 1, 1, 1, 1, 1, 0]	4401.0	7	1.7309221607314726
3	[0, 0, 0, 1, 1, 0, 1, 0, 0]	13299.2	3	1.6
3	[1, 0, 0, 0, 1, 0, 0, 0, 0]	10131.6	2	1.1618202598652552
4	[1, 0, 1, 1, 0, 1, 0, 0, 0]	4601.2	4	1.1344332834237036
4	[1, 0, 1, 1, 0, 0, 1, 0, 0]	4223.8	4	1.1070023694960098
4	[1, 0, 0, 0, 1, 0, 0, 0, 0]	6444.8	2	0.8684333706444157
4	[1, 1, 0, 0, 1, 1, 0, 1, 1]	8413.0	6	1.811489875129014
4	[1, 0, 1, 0, 0, 1, 0, 0, 1]	10438.8	4	1.558732973790176
4	[0, 0, 1, 1, 1, 0, 1, 0, 0]	12889.6	4	1.7368667412888315
4	[1, 0, 1, 0, 0, 0, 0, 1, 0]	10593.4	3	1.369969908854356
4	[0, 1, 1, 0, 1, 0, 0, 0, 0]	13310.6	3	1.5674666744196188
4	[1, 0, 0, 0, 1, 0, 0, 1, 0]	7498.0	3	1.1449840822200579
4	[0, 0, 1, 1, 0, 0, 1, 0, 0]	13758.2	3	1.6
5	[1, 0, 0, 0, 1, 0, 0, 0, 0]	8428.2	2	1.0047616314112684
5	[1, 0, 1, 1, 0, 0, 1, 0, 0]	4719.6	4	1.1386527367182344
5	[1, 0, 1, 1, 0, 1, 0, 0, 0]	4570.2	4	1.127932608134095
5	[0, 0, 0, 0, 1, 0, 1, 0, 0]	13936.4	2	1.4
5	[0, 0, 1, 1, 1, 0, 1, 0, 0]	13354.4	4	1.7582388565196179
5	[0, 0, 1, 1, 0, 1, 0, 0, 0]	13066.4	3	1.537573548405614
